980000,64,4,3,53
835000,67,3,3,53
950000,58,3,3,53
825000,72,3,3,63
1770000,119,5,1,1
2480000,149,6,2,1
1010000,80,4,2,63
780000,70,3,3,53
1300000,73,3,1,2
960000,73,4,1,40
1530000,90,4,5,7
1370000,88,4,3,34
1060000,82,4,1,53
1300000,67,4,6,53
1200000,83,4,2,63
2730000,185,6,4,16
1150000,95,4,2,53
1640000,75,4,1,73
1030000,91,4,3,40
490000,89,4,5,53
950000,64,3,1,63
1480000,96,4,3,53
1500000,123,5,1,63
1150000,65,3,2,43
950000,73,4,2,53
1300000,72,4,4,15
1120000,85,4,3,53
1120000,99,4,3,53
2250000,141,5,4,10
1700000,108,6,4,15
740000,57,3,3,43
865000,64,2,2,53
1000000,89,4,6,53
1580000,100,4,1,1
1350000,116,5,3,34
530000,43,2,2,63
1050000,93,4,2,53
1130000,71,3,1,53
760000,63,3,3,53
1840000,137,6,1,37
820000,62,3,3,53
240000,76,4,2,40
1120000,96,3,2,63
1160000,87,4,2,53
1170000,97,4,2,53
